,id,title,subtitle,sq_mt_built,loan_int_rate,sq_mt_useful,n_rooms,n_bathrooms,n_floors,sq_mt_allotment,latitude,longitude,raw_address,is_exact_address_hidden,street_name,street_number,portal,floor,is_floor_under,door,neighborhood_id,operation,rent_price,rent_price_by_area,is_rent_price_known,buy_price,buy_price_by_area,is_buy_price_known,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,are_pets_allowed,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_furnished,is_kitchen_equipped,is_accessible,has_green_zones,energy_certificate,has_parking,has_private_parking,has_public_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21742,"Piso en venta en calle de Godella, 64","San Cristóbal, Madrid",64,16.02,60,2,1,,,,,"Calle de Godella, 64",FALSE,Calle de Godella,64,,3,FALSE,,Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde,sale,471,,FALSE,85000,1328,TRUE,HouseType 1: Pisos,FALSE,FALSE,1960,,,,TRUE,,FALSE,TRUE,,,,,,,,,,D,FALSE,,,,,FALSE,TRUE,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21741,Piso en venta en calle de la del Manojo de Rosas,"Los Ángeles, Madrid",70,11.14,,3,1,,,,,Calle de la del Manojo de Rosas,TRUE,Calle de la del Manojo de Rosas,,,4,FALSE,,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,666,,FALSE,129900,1856,TRUE,HouseType 1: Pisos,TRUE,FALSE,,,,,,TRUE,TRUE,TRUE,,,TRUE,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21740,"Piso en venta en calle del Talco, 68","San Andrés, Madrid",94,12.87,54,2,2,,,,,"Calle del Talco, 68",FALSE,Calle del Talco,68,,1,FALSE,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,722,,FALSE,144247,1535,TRUE,HouseType 1: Pisos,FALSE,FALSE,,FALSE,TRUE,,,TRUE,TRUE,TRUE,,,,,TRUE,,,,,no indicado,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,21739,Piso en venta en calle Pedro Jiménez,"San Andrés, Madrid",64,15.23,,2,1,,,,,Calle Pedro Jiménez,TRUE,Calle Pedro Jiménez,,,Bajo,TRUE,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,583,,FALSE,109900,1717,TRUE,HouseType 1: Pisos,FALSE,FALSE,1955,,,,,,TRUE,TRUE,,,,,TRUE,,,TRUE,,en trámite,FALSE,,,,,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,21738,Piso en venta en carretera de Villaverde a Vallecas,"Los Rosales, Madrid",108,14.27,90,2,2,,,,,Carretera de Villaverde a Vallecas,TRUE,Carretera de Villaverde a Vallecas,,,4,FALSE,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,1094,,FALSE,260000,2407,TRUE,HouseType 1: Pisos,FALSE,FALSE,2003,,,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,TRUE,,,,TRUE,en trámite,TRUE,,,TRUE,0,TRUE,TRUE,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,21737,Piso en venta en geologia,"San Andrés, Madrid",126,7.14,114,4,2,,,,,geologia,TRUE,geologia,,,3,FALSE,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,901,,FALSE,195000,1548,TRUE,HouseType 1: Pisos,FALSE,FALSE,1981,FALSE,TRUE,,,,FALSE,TRUE,,,TRUE,TRUE,,,,TRUE,,en trámite,TRUE,,,TRUE,0,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,21736,Piso en venta en avenida Real de Pinto,"San Andrés, Madrid",120,12.42,100,5,2,,,,,Avenida Real de Pinto,TRUE,Avenida Real de Pinto,,,1,FALSE,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,884,,FALSE,190000,1583,TRUE,HouseType 1: Pisos,FALSE,FALSE,,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,F,TRUE,,,TRUE,0,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,21735,Piso en venta en San Andrés,"Villaverde, Madrid",125,11.11,100,3,2,,,,,,TRUE,,,,2,FALSE,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,912,,FALSE,198500,1588,TRUE,HouseType 1: Pisos,FALSE,FALSE,,,,,TRUE,TRUE,FALSE,TRUE,,,TRUE,,,,,,,no indicado,FALSE,,,,,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,21734,Piso en venta en Butarque,"Villaverde, Madrid",84,8.9,70,3,2,,,,,,TRUE,,,,,,,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,954,,FALSE,212000,2524,TRUE,HouseType 1: Pisos,FALSE,FALSE,,,,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,TRUE,,,TRUE,TRUE,F,TRUE,,,TRUE,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,21733,Piso en venta en calle de Martinez Oviol,"Los Rosales, Madrid",85,14.74,,2,1,,,,,Calle de Martinez Oviol,TRUE,Calle de Martinez Oviol,,,7,FALSE,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,672,,FALSE,131400,1546,TRUE,HouseType 1: Pisos,TRUE,FALSE,1950,FALSE,TRUE,,,,FALSE,TRUE,,,TRUE,,,,,,,en trámite,FALSE,,,,,FALSE,TRUE,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,21732,Piso en venta en De la Plata - Villaverde,"San Andrés, Madrid",69,10.37,,2,2,,,,,De la Plata - Villaverde,TRUE,De la Plata - Villaverde,,,2,FALSE,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,617,,FALSE,118000,1710,TRUE,HouseType 1: Pisos,TRUE,FALSE,1963,,,,,,FALSE,TRUE,,,TRUE,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,21731,Piso en venta en Butarque,"Villaverde, Madrid",122,8.63,98,3,2,,,,,,TRUE,,,,6,FALSE,,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1058,,FALSE,246900,2024,TRUE,HouseType 1: Pisos,FALSE,FALSE,,,,,TRUE,TRUE,TRUE,,,TRUE,,,TRUE,,,,TRUE,E,TRUE,,,TRUE,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21730,"Piso en venta en calle de la Unanimidad, 67","Los Rosales, Madrid",123,7.9,104,3,2,,,,,"Calle de la Unanimidad, 67",FALSE,Calle de la Unanimidad,67,,4,FALSE,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,901,,FALSE,195000,1585,TRUE,HouseType 1: Pisos,FALSE,FALSE,1992,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,D,FALSE,,,,,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,21729,"Piso en venta en calle de Anoeta, 63","Los Ángeles, Madrid",109,18.39,90,3,2,,,,,"Calle de Anoeta, 63",FALSE,Calle de Anoeta,63,,3,FALSE,,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,933,,FALSE,205000,1881,TRUE,HouseType 1: Pisos,FALSE,FALSE,1983,,,,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,,,E,FALSE,,,,,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,21728,Piso en venta en calle GODELLA,"San Cristóbal, Madrid",64,7.9,,3,1,,,,,Calle GODELLA,TRUE,Calle GODELLA,,,3,FALSE,,Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde,sale,408,,FALSE,72000,1125,TRUE,HouseType 1: Pisos,FALSE,FALSE,1960,FALSE,TRUE,,,,FALSE,TRUE,,,TRUE,,,,,,,F,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,21727,Piso en venta en calle San Macario,"Los Rosales, Madrid",115,10.65,,3,1,,,,,Calle San Macario,TRUE,Calle San Macario,,,3,FALSE,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,780,,FALSE,160000,1391,TRUE,HouseType 1: Pisos,FALSE,FALSE,,FALSE,TRUE,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,21726,Piso en venta en Los Rosales,"Villaverde, Madrid",115,7.9,88,3,1,,,,,,TRUE,,,,1,FALSE,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,867,,FALSE,184900,1608,TRUE,HouseType 1: Pisos,FALSE,FALSE,,FALSE,TRUE,,TRUE,,FALSE,TRUE,,,TRUE,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,21725,Piso en venta en Los Ángeles,"Villaverde, Madrid",65,20.25,,3,1,,,,,,TRUE,,,,4,FALSE,,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,494,,FALSE,90000,1385,TRUE,HouseType 1: Pisos,FALSE,FALSE,,,,,,,FALSE,TRUE,,,TRUE,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,21724,Piso en venta en San Andrés,"Villaverde, Madrid",75,18.25,,3,1,,,,,,TRUE,,,,3,FALSE,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,666,,FALSE,129900,1732,TRUE,HouseType 1: Pisos,TRUE,FALSE,,,,,,,TRUE,TRUE,,,TRUE,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,21723,Piso en venta en San Cristóbal,"Villaverde, Madrid",60,10.99,,2,1,,,,,,TRUE,,,,Bajo,TRUE,,Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde,sale,516,,FALSE,94900,1582,TRUE,HouseType 1: Pisos,FALSE,FALSE,,,,,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21722,Piso en venta en San Andrés,"Villaverde, Madrid",60,7.49,,2,1,,,,,,TRUE,,,,2,FALSE,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,493,,FALSE,89900,1498,TRUE,HouseType 1: Pisos,FALSE,FALSE,,,,,,,FALSE,TRUE,,,TRUE,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21721,Piso en venta en Los Ángeles,"Villaverde, Madrid",95,16.77,,4,2,,,,,,TRUE,,,,4,FALSE,,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,724,,FALSE,144900,1525,TRUE,HouseType 1: Pisos,FALSE,FALSE,,,,,TRUE,,FALSE,TRUE,,,,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,21720,Piso en venta en San Andrés,"Villaverde, Madrid",76,17.58,,3,1,,,,,,TRUE,,,,2,FALSE,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,583,,FALSE,110000,1447,TRUE,HouseType 1: Pisos,TRUE,FALSE,,,,,,,FALSE,TRUE,,,TRUE,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,21719,Piso en venta en camino Leganés,"San Andrés, Madrid",51,7.29,,2,1,,,,,Camino Leganés,TRUE,Camino Leganés,,,Semi-sótano,TRUE,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,508,,FALSE,93000,1824,TRUE,HouseType 1: Pisos,FALSE,FALSE,,,,,,,,,,,,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,21718,Piso en venta en calle de las Islas,"San Andrés, Madrid",134,14.54,,3,2,,,,,Calle de las Islas,TRUE,Calle de las Islas,,,2,FALSE,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,666,,FALSE,130000,970,TRUE,HouseType 1: Pisos,FALSE,FALSE,,,,,,,TRUE,,,,,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,21717,Piso en venta en calle de Parvillas Bajas,"San Andrés, Madrid",62,12.68,,2,1,,,,,Calle de Parvillas Bajas,TRUE,Calle de Parvillas Bajas,,,2,FALSE,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,557,,FALSE,104000,1677,TRUE,HouseType 1: Pisos,FALSE,,,FALSE,TRUE,,,,,TRUE,,,TRUE,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,21716,Piso en venta en COBALTO s/n,"San Andrés, Madrid",75,17.74,68,3,1,,,,,COBALTO s/n,FALSE,,,,3,FALSE,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,698,,FALSE,138000,1840,TRUE,HouseType 1: Pisos,FALSE,FALSE,1984,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,,,TRUE,,,,,,,inmueble exento,TRUE,,,TRUE,0,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,21715,Piso en venta en Butarque,"Villaverde, Madrid",112,9.32,83,4,2,,,,,,TRUE,,,,2,FALSE,,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1148,,FALSE,280000,2500,TRUE,HouseType 1: Pisos,FALSE,FALSE,,FALSE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,,,TRUE,,,TRUE,TRUE,B,TRUE,,,TRUE,0,FALSE,TRUE,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,21714,Piso en venta en calle Villajoyosa,"Los Rosales, Madrid",65,9.99,63,3,1,,,,,Calle Villajoyosa,TRUE,Calle Villajoyosa,,,1,FALSE,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,744,,FALSE,150000,2308,TRUE,HouseType 1: Pisos,TRUE,FALSE,1976,FALSE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,21713,Piso en venta en paseo de Alberto Palacios,"San Andrés, Madrid",70,12.84,63,2,1,,,,,Paseo de Alberto Palacios,TRUE,Paseo de Alberto Palacios,,,3,FALSE,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,728,,FALSE,145900,2084,TRUE,HouseType 1: Pisos,FALSE,FALSE,1968,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,,,TRUE,TRUE,,,,,,E,FALSE,,,,,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,21712,Piso en venta en calle Laguna del Marquesado,"San Andrés, Madrid",75,11.12,,1,1,,,,,Calle Laguna del Marquesado,TRUE,Calle Laguna del Marquesado,,,1,FALSE,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,505,,FALSE,92500,1233,TRUE,HouseType 1: Pisos,FALSE,,2008,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,TRUE,,en trámite,FALSE,,,,,TRUE,TRUE,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,21711,Piso en venta en carretera de Villaverde a Vallecas,"Los Rosales, Madrid",123,6.62,,3,2,,,,,Carretera de Villaverde a Vallecas,TRUE,Carretera de Villaverde a Vallecas,,,7,FALSE,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,1195,,FALSE,298000,2423,TRUE,HouseType 1: Pisos,FALSE,FALSE,2002,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,TRUE,,,,,en trámite,TRUE,,,TRUE,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,21710,Piso en venta en camino Leganés,"San Andrés, Madrid",61,14.17,,3,1,,,,,Camino Leganés,TRUE,Camino Leganés,,,2,FALSE,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,539,,FALSE,99900,1638,TRUE,HouseType 1: Pisos,FALSE,,,FALSE,TRUE,,TRUE,,,TRUE,,,TRUE,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
